"community_area","year","weapons_incidents","weapons_arrests"
"18","2020","13","2"
"18","2021","24","11"
"18","2022","17","11"
"18","2023","15","5"
"19","2009","77","61"
"19","2010","82","69"
"19","2011","80","65"
"19","2012","56","46"
"19","2013","49","38"
"19","2014","40","36"
"19","2015","50","34"
"19","2016","64","38"
"19","2017","53","39"
"19","2018","90","43"
"19","2019","84","52"
"19","2020","148","91"
"19","2021","193","113"
"19","2022","175","106"
"19","2023","161","74"
"20","2009","29","25"
"20","2010","39","31"
"20","2011","27","22"
"20","2012","22","20"
"20","2013","27","21"
"20","2014","18","17"
"20","2015","19","16"
"20","2016","26","14"
"20","2017","28","17"
"20","2018","47","31"
"20","2019","38","22"
"20","2020","48","27"
"20","2021","57","30"
"20","2022","59","34"
"20","2023","66","41"
"21","2009","24","21"
"21","2010","22","17"
"21","2011","22","19"
"21","2012","15","13"
"21","2013","11","9"
"21","2014","12","9"
"21","2015","9","9"
"21","2016","17","12"
"21","2017","13","6"
"21","2018","27","8"
"21","2019","45","17"
"21","2020","35","13"
"21","2021","25","9"
"21","2022","37","14"
"21","2023","31","14"
"22","2009","52","42"
"22","2010","43","34"
"22","2011","40","30"
"22","2012","34","26"
"22","2013","21","16"
"22","2014","27","17"
"22","2015","24","19"
"22","2016","29","23"
"22","2017","35","26"
"22","2018","59","22"
"22","2019","53","30"
"22","2020","72","40"
"22","2021","54","29"
"22","2022","48","27"
"22","2023","54","25"
"23","2009","185","150"
"23","2010","156","119"
"23","2011","134","96"
"23","2012","144","120"
"23","2013","124","96"
"23","2014","108","76"
"23","2015","123","88"
"23","2016","138","89"
"23","2017","190","143"
"23","2018","274","198"
"23","2019","253","184"
"23","2020","322","235"
"23","2021","328","214"
"23","2022","260","155"
"23","2023","259","165"
"24","2009","79","59"
"24","2010","60","34"
"24","2011","57","40"
"24","2012","47","34"
"24","2013","31","24"
"24","2014","17","15"
"24","2015","39","27"
"24","2016","27","16"
"24","2017","49","34"
"24","2018","49","29"
"24","2019","67","43"
"24","2020","75","40"
"24","2021","84","44"
"24","2022","107","63"
"24","2023","93","60"
"25","2009","289","235"
"25","2010","285","236"
"25","2011","275","218"
"25","2012","232","194"
"25","2013","249","194"
"25","2014","219","172"
"25","2015","266","211"
"25","2016","333","223"
"25","2017","445","321"
"25","2018","427","288"
"25","2019","429","277"
"25","2020","595","389"
"25","2021","679","450"
"25","2022","559","377"
"25","2023","593","339"
"26","2009","90","65"
"26","2010","86","66"
"26","2011","87","65"
"26","2012","69","57"
"26","2013","79","58"
"26","2014","78","62"
"26","2015","87","58"
"26","2016","130","95"
"26","2017","147","118"
"26","2018","158","115"
"26","2019","227","183"
"26","2020","307","244"
"26","2021","359","269"
"26","2022","311","217"
"26","2023","224","156"
"27","2009","106","70"
"27","2010","75","52"
"27","2011","68","47"
"27","2012","70","56"
"27","2013","76","57"
"27","2014","52","40"
"27","2015","78","59"
"27","2016","135","104"
"27","2017","112","85"
"27","2018","157","123"
"27","2019","168","135"
"27","2020","207","168"
"27","2021","231","182"
"27","2022","186","131"
"27","2023","153","105"
"28","2009","38","29"
"28","2010","37","32"
"28","2011","33","27"
"28","2012","53","37"
"28","2013","41","33"
"28","2014","31","23"
"28","2015","28","23"
"28","2016","37","25"
"28","2017","56","49"
"28","2018","61","37"
"28","2019","88","63"
"28","2020","110","88"
"28","2021","110","81"
"28","2022","155","118"
"28","2023","151","106"
"29","2009","106","81"
"29","2010","122","96"
"29","2011","135","113"
"29","2012","151","114"
"29","2013","143","113"
"29","2014","124","96"
"29","2015","168","139"
"29","2016","221","165"
"29","2017","362","306"
"29","2018","327","268"
"29","2019","337","257"
"29","2020","446","325"
"29","2021","479","344"
"29","2022","460","349"
"29","2023","393","272"
"30","2009","100","83"
"30","2010","79","60"
"30","2011","60","51"
"30","2012","66","59"
"30","2013","60","47"
"30","2014","69","53"
"30","2015","90","71"
"30","2016","79","62"
"30","2017","146","120"
"30","2018","165","132"
"30","2019","188","125"
"30","2020","263","185"
"30","2021","227","134"
"30","2022","276","160"
"30","2023","278","144"
"31","2009","50","44"
"31","2010","34","30"
"31","2011","39","28"
"31","2012","38","31"
"31","2013","38","28"
"31","2014","23","20"
"31","2015","40","30"
"31","2016","32","22"
"31","2017","48","42"
"31","2018","54","39"
"31","2019","61","39"
"31","2020","71","43"
"31","2021","72","46"
"31","2022","97","63"
"31","2023","104","60"
"32","2009","17","17"
"32","2010","13","12"
"32","2011","9","8"
"32","2012","11","10"
"32","2013","10","10"
"32","2014","8","7"
"32","2015","7","6"
"32","2016","13","9"
"32","2017","12","11"
"32","2018","20","15"
"32","2019","24","19"
"32","2020","102","91"
"32","2021","97","86"
"32","2022","110","98"
"32","2023","106","98"
"33","2009","4","2"
"33","2010","2","2"
"33","2011","8","8"
"33","2012","2","2"
"33","2013","4","3"
"33","2014","5","4"
"33","2015","8","7"
"33","2016","3","3"
"33","2017","8","5"
"33","2018","13","8"
"33","2019","9","6"
"33","2020","39","35"
"33","2021","44","42"
"33","2022","62","54"
"33","2023","66","61"
"34","2009","9","7"
"34","2010","2","2"
"34","2011","7","7"
"34","2012","9","7"
"34","2013","11","10"
"34","2014","7","7"
"34","2015","13","12"
"34","2016","8","5"
"34","2017","17","13"
"34","2018","11","5"
"34","2019","18","9"
"34","2020","27","17"
"34","2021","27","12"
"34","2022","50","39"
"34","2023","30","17"
"35","2009","7","6"
"35","2010","15","13"
"35","2011","17","16"
"35","2012","18","14"
"35","2013","15","11"
"35","2014","23","19"
"35","2015","23","21"
"35","2016","24","18"
"35","2017","20","14"
"35","2018","22","12"
"35","2019","47","24"
"35","2020","72","45"
"35","2021","79","49"
"35","2022","80","65"
"35","2023","101","69"
"36","2009","2","2"
"36","2010","9","8"
"36","2011","10","10"
"36","2012","11","9"
"36","2013","7","5"
"36","2014","9","7"
"36","2015","7","5"
"36","2016","13","8"
"36","2017","5","3"
"36","2018","6","1"
"36","2019","22","10"
"36","2020","26","8"
"36","2021","15","1"
"36","2022","37","16"
"36","2023","25","13"
"37","2009","22","20"
"37","2010","18","15"
"37","2011","25","22"
"37","2012","25","23"
"37","2013","18","15"
"37","2014","13","8"
"37","2015","24","19"
"37","2016","15","10"
"37","2017","25","15"
"37","2018","23","17"
"37","2019","28","19"
"37","2020","34","20"
"37","2021","29","15"
"37","2022","58","39"
"37","2023","55","28"
"38","2009","59","53"
"38","2010","56","42"
"38","2011","49","43"
"38","2012","38","28"
"38","2013","46","36"
"38","2014","45","34"
"38","2015","38","29"
"38","2016","46","38"
"38","2017","61","45"
"38","2018","46","23"
